,MEI,CO2,CH4,N2O,CFC-11,CFC-12,Aerosols,Temp
0,-1.177,382.42,1803.79,321.062,1.9272591527662173e+22,8.1730339318598e+20,0.0042,0.26312315
1,2.673,368.61,1780.3,313.24,4.103270672886761e+22,7.943763498548755e+20,0.0031,0.51961136
2,0.961,360.79,1756.89,311.216,4.787588541214626e+22,6.461964855210245e+20,0.0117,0.2950117
3,0.996,344.47,1691.19,306.86,8.875051543350326e+21,8.93852518250885e+19,0.0126,-0.0047849263
4,0.737,352.3,1734.55,309.365,4.0930750119226055e+22,4.250025239950126e+20,0.0964,0.0432617
5,-0.138,345.55,1629.89,304.722,2.636488490312708e+21,3.962050240578116e+19,0.0282,0.01262972
6,-0.179,343.2,1643.67,304.871,2.7723904135618374e+21,4.044539720973285e+19,0.026,0.060033776
7,-1.011,365.35,1794.88,314.858,3.830613637237906e+22,8.498573220403809e+20,0.0021,0.25925723
8,-0.166,376.98,1806.71,319.299,2.329626006880823e+22,8.687517631723961e+20,0.0037,0.43020165
9,0.644,355.53,1758.32,310.293,4.918983393614291e+22,5.324832835289204e+20,0.0793,0.08354693
10,0.974,382.93,1799.66,320.561,2.1010860122991306e+22,8.405207449481702e+20,0.0054,0.4916456
11,-1.138,370.56,1792.32,315.162,3.7318597571215295e+22,8.596782229258009e+20,0.0021,0.30584973
12,1.32,355.07,1752.37,310.254,4.3823754751992905e+22,4.459274064497816e+20,0.1385,0.08276475
13,-0.21,373.14,1783.38,317.009,3.3147657131938107e+22,8.99644561317936e+20,0.0021,0.5680171
14,-0.561,345.25,1663.42,305.301,3.8330673753560816e+21,4.482810991906959e+19,0.0164,-0.07101806
15,0.892,379.16,1789.02,320.125,2.1254172899927325e+22,8.4403951727765e+20,0.0044,0.43683627
16,0.509,373.1,1806.62,317.95,2.7749083787002244e+22,8.881041683011488e+20,0.0028,0.47738415
17,-0.191,347.13,1666.83,305.911,6.27741266289463e+21,7.3309460701746086e+19,0.0158,0.048110962
18,-1.022,370.96,1788.27,314.324,3.9638936773641355e+22,8.366550004252686e+20,0.0021,0.3107351
19,2.358,360.71,1784.8,313.025,4.320667783490947e+22,7.919611842673823e+20,0.0051,0.46153402
20,0.441,373.2,1788.75,317.796,2.7821025022746475e+22,8.852850039202945e+20,0.0029,0.45718318
21,2.167,345.52,1633.71,303.746,1.7201864401698926e+21,2.774466133323213e+19,0.0794,0.1501932
22,-0.581,369.67,1791.13,316.215,3.5806961211406383e+22,8.809800861490381e+20,0.0021,0.2742295
23,-0.755,368.33,1799.06,316.133,3.5929355191756633e+22,8.808632902121157e+20,0.0021,0.27684435
24,-0.396,361.38,1745.36,311.66,4.56450359010429e+22,7.26881770418371e+20,0.0062,0.15664232
25,1.871,356.93,1750.02,310.128,4.448906141680139e+22,4.720466100542772e+20,0.1494,0.23234232
26,-1.149,368.12,1796.25,314.589,4.097570292235768e+22,8.363697280599051e+20,0.0022,0.39165768
27,0.016,341.68,1674.65,305.158,3.1549720960608434e+21,4.217580968093528e+19,0.022,-0.028140418
28,1.388,359.27,1746.7,310.129,4.7207810364563245e+22,5.3405594332940553e+20,0.0559,0.15278941
29,0.241,351.59,1736.9,308.879,3.7516196856039345e+22,3.6849338011227816e+20,0.0058,0.2084744
30,-0.644,362.04,1771.15,311.62,4.664064253185525e+22,7.11505126637989e+20,0.0074,0.1885592
31,-0.607,364.09,1768.98,312.461,4.484054046167158e+22,7.592499002573309e+20,0.0057,0.20803866
32,-0.539,370.52,1789.56,316.264,3.5609529578198506e+22,8.82343706804539e+20,0.0021,0.29166344
33,-0.156,346.66,1654.25,305.049,4.745976145370603e+21,5.5687215061188346e+19,0.0121,-0.020728163
34,0.979,358.36,1747.95,310.167,4.761793617345149e+22,5.32090752206941e+20,0.0608,0.14576118
